Country Code	Country Name	Latitude (generated)	Longitude (generated)
DJI	Djibouti	11.41	42.165
DEU	Germany	51.3819	9.9877
CZE	Czechia	49.848	15.2812
CYP	Cyprus	34.894	32.928
CYM	Cayman Islands	19.3299	-81.1715
CUW	Curacao	12.2129	-69.0407
CUB	Cuba	20.571	-76.456
CSS	Caribbean small states		
CRI	Costa Rica	10.126	-84.075
CPV	Cabo Verde	15.416	-23.36
COM	Comoros	-11.6527	43.3307
COL	Colombia	3.794	-73.606
COG	Congo, Rep.	0.509	16.08
COD	Congo, Dem. Rep.	-1.418	23.607
CMR	Cameroon	4.4	12.131
CIV	Cote d'Ivoire	7.497	-5.336
CHN	China	35.1753	99.3877
CHL	Chile	-23.176	-69.201
CHI	Channel Islands	49.4632	-2.5827
CHE	Switzerland	46.7794	8.0329
CEB	Central Europe and the Baltics		
CAN	Canada	59.2067	-111.1937
CAF	Central African Republic	7.043	21.424
BWA	Botswana	-22.126	23.662
BTN	Bhutan	27.5342	90.3002
BRN	Brunei Darussalam	4.452	114.557
BRB	Barbados	13.1898	-59.559
BRA	Brazil	-11.694	-48.978
BOL	Bolivia	-16.71	-65.183
BMU	Bermuda	32.3019	-64.7737
BLZ	Belize	17.108	-88.744
BLR	Belarus	53.3292	27.9492
BIH	Bosnia and Herzegovina	44.342	17.804
BHS	Bahamas, The	24.7032	-78.0455
BHR	Bahrain	26.025	50.5534
BGR	Bulgaria	42.625	24.521
BGD	Bangladesh	24.598	90.1963
BFA	Burkina Faso	12.673	-1.226
BEN	Benin	10.478	2.274
BEL	Belgium	50.6745	4.4588
BDI	Burundi	-3.333	29.749
AZE	Azerbaijan	40.46	47.883
AUT	Austria	47.65	14.705
AUS	Australia	-24.578	133.582
ATG	Antigua and Barbuda	17.625	-61.786
ASM	American Samoa	-14.3018	-170.7511
ARM	Armenia	40.56	44.449
ARG	Argentina	-33.166	-64.31
ARE	United Arab Emirates	23.9299	53.9031
ARB	Arab World		
AND	Andorra	42.5425	1.5893
ALB	Albania	40.654	20.076
AGO	Angola	-12.836	17.808
AFW	Africa Western and Central		
AFG	Afghanistan	34.023	65.5267
AFE	Africa Eastern and Southern		
ABW	Aruba	12.5176	-69.9818
